x,y,filename
0.15822496420464857,0.11386241759381376,202107272301 Our mental growth don't have limit
0.14525319464743056,0.10686172565798747,~ What are litterature notes?
0.23667357104954787,0.23239762434842673,202106122307 Reading with a pen in hand is a way to test our understanding
0.22601723277751906,0.16791094384499994,202106122336 Understanding improve strenght retrieval
0.15026523079071413,-0.03369129379730221,"202106270036 Don't search for good taste, search for pleasant things"
0.19708250922457368,0.09159617036470585,202106122329 Multiplying notes connections free us from unexpected cues
0.0964980765799739,0.05091677231990671,202106270049 Collectors should have an antilibrary
0.2266583390786816,0.07293212982128222,202106201723 Learning shouldn't be linear but graph oriented
0.13310162759002175,0.18266276639736517,202107072122 Be careful about practical book's propaganda
0.10218148532339741,0.24258549037009206,202107071931 Analytical reading apply on non-fiction
0.21768926408215677,0.1183419273863468,202106131120 Index notes like a writter
